mean_test_score,learning_rate,max_depth,n_estimators
0.8409100538632442,0.05,11,100
0.8430459091650775,0.05,11,125
0.8441871208841943,0.05,11,150
0.8434751830383288,0.05,12,100
0.8455272799986625,0.05,12,125
0.847034940668926,0.05,12,150
0.8451294167777762,0.05,13,100
0.8458727741550174,0.05,13,125
0.8474851390825613,0.05,13,150
0.8478097017926346,0.05,15,100
0.8489613950198005,0.05,15,125
0.8491812587342297,0.05,15,150
0.8489509266658417,0.05,17,100
0.8492336169466367,0.05,17,125
0.8494953672309915,0.05,17,150
0.8488881188440547,0.05,19,100
0.8498094645467763,0.05,19,125
0.8506365930907552,0.05,19,150
0.8476631241195189,0.1,11,100
0.8491079664447231,0.1,11,125
0.8502910815052306,0.1,11,150
0.8480505170133331,0.1,12,100
0.850469076078904,0.1,12,125
0.8503120261056024,0.1,12,150
0.8484065025433049,0.1,13,100
0.8498094606005493,0.1,13,125
0.8501235796205832,0.1,13,150
0.8500816792388628,0.1,15,100
0.8502177994101441,0.1,15,125
0.8508459970013843,0.1,15,150
0.850845973652874,0.1,17,100
0.8519243861003624,0.1,17,125
0.8517882830293985,0.1,17,150
0.8500083997745943,0.1,19,100
0.8503015630132799,0.1,19,125
0.8504481466057361,0.1,19,150
0.8484379273363168,0.125,11,100
0.8494116299360366,0.125,11,125
0.8496314929927612,0.125,11,150
0.8499351097870537,0.125,12,100
0.8511496167553472,0.125,12,125
0.8505528416551531,0.125,12,150
0.8502073165866859,0.125,13,100
0.8498408709240618,0.125,13,125
0.8504900094982991,0.125,13,150
0.8507308158399866,0.125,15,100
0.8510030315186298,0.125,15,125
0.8509087995615352,0.125,15,150
0.8497466557384326,0.125,17,100
0.8499141658443863,0.125,17,125
0.8500293407575913,0.125,17,150
0.8511077232795242,0.125,19,100
0.851065840984678,0.125,19,125
0.851023963951468,0.125,19,150
0.8486996417757754,0.15,11,100
0.848647300663686,0.15,11,125
0.8491184548586698,0.15,11,150
0.8490556227018157,0.15,12,100
0.8501026146313714,0.15,12,125
0.8504690547035071,0.15,12,150
0.8499037096579611,0.15,13,100
0.8504271934552055,0.15,13,125
0.850343443992717,0.15,13,150
0.8508564531878097,0.15,15,100
0.8508250405623313,0.15,15,125
0.8504481265457483,0.15,15,150
0.8504795381846698,0.15,17,100
0.8509506848160516,0.15,17,125
0.8512019651021864,0.15,17,150
0.8511391359050027,0.15,19,100
0.8503120145957733,0.15,19,125
0.8503015518323029,0.15,19,150
