arrival_date_day_of_month,Count,Percentage
17,4406,0.036904263338638076
5,4317,0.036158807270290645
15,4196,0.03514532205377335
25,4160,0.03484378926208225
26,4147,0.034734902420638245
9,4096,0.03430773096574252
12,4087,0.03423234776781975
16,4078,0.034156964569896975
2,4055,0.03396431861964989
19,4052,0.03393919088700896
20,4032,0.0337716726694028
18,4002,0.03352039534299355
24,3993,0.03344501214507078
28,3946,0.03305134433369629
8,3921,0.03284194656168858
3,3855,0.03228913644358824
30,3853,0.032272384621827625
6,3833,0.03210486640422146
14,3819,0.031987603651897144
27,3802,0.0318452131669319
21,3767,0.031552056286121115
4,3763,0.03151855264259988
13,3745,0.031367786246754334
7,3665,0.030697713376329677
1,3626,0.030371052851997656
23,3616,0.03028729374319457
11,3599,0.03014490325822933
22,3596,0.030119775525588408
29,3580,0.029985760951503477
10,3575,0.029943881397101933
31,2208,0.018494011223720578
