arrival_date_week_number,Count,Percentage
33,3580,0.029985760951503477
30,3087,0.025856436887511516
32,3045,0.02550464863053857
34,3040,0.02546276907613703
18,2926,0.024507915235781892
21,2854,0.0239048496523997
28,2853,0.02389647374151939
17,2805,0.023494430019264594
20,2785,0.02332691180165843
29,2763,0.02314264176229165
42,2756,0.02308401038612949
31,2741,0.022958371722924868
41,2699,0.022606583465951922
15,2689,0.02252282435714884
27,2664,0.022313426585141134
25,2663,0.022305050674260824
38,2661,0.02228829885250021
23,2621,0.02195326241728788
35,2593,0.021718736912639248
39,2581,0.02161822598207555
22,2546,0.021325069101264763
24,2498,0.020923025379009967
13,2416,0.020236200686824694
16,2405,0.020144065667141303
19,2402,0.020118937934500376
40,2397,0.020077058380098836
26,2391,0.020026802914816986
43,2352,0.019700142390484964
44,2272,0.019030069520060307
14,2264,0.01896306223301784
37,2229,0.018669905352207052
8,2216,0.018561018510763045
36,2167,0.018150598877627943
10,2149,0.017999832481782396
9,2117,0.01773180333361253
7,2109,0.017664796046570064
12,2083,0.01744702236368205
11,2070,0.017338135522238042
45,1941,0.01625764301867828
53,1816,0.015210654158639753
49,1782,0.014925873188709271
47,1685,0.014113409833319374
46,1574,0.01318368372560516
6,1508,0.012630873607504816
50,1505,0.012605745874863891
48,1504,0.012597369963983583
4,1487,0.012454979479018344
5,1387,0.01161738839098752
3,1319,0.01104782645112656
2,1218,0.010201859452215429
52,1195,0.01000921350196834
1,1047,0.00876957869168272
51,933,0.007814724851327582
