days_in_waiting_list,Count,Percentage
0,115692,0.9690258815646201
39,227,0.0019013317698299691
58,164,0.0013736493843705504
44,141,0.0011810034341234608
31,127,0.0010637406817991457
35,96,0.0008040874445095904
46,94,0.0007873356227489739
69,89,0.0007454560683474328
63,83,0.0006952006030655833
87,80,0.0006700728704246586
50,80,0.0006700728704246586
38,76,0.0006365692269034258
111,71,0.0005946896725018846
101,65,0.0005444342072200352
45,65,0.0005444342072200352
41,63,0.0005276823854594187
77,63,0.0005276823854594187
223,61,0.0005109305636988022
62,60,0.000502554652818494
3,59,0.0004941787419381858
98,59,0.0004941787419381858
22,56,0.0004690510092972611
122,55,0.0004606750984169528
15,54,0.0004522991875366446
48,52,0.00043554736577602817
176,50,0.0004187955440154117
28,50,0.0004187955440154117
91,50,0.0004187955440154117
17,47,0.00039366781137448696
96,46,0.00038529190049417874
391,45,0.0003769159896138705
56,45,0.0003769159896138705
187,45,0.0003769159896138705
68,42,0.0003517882569729458
60,41,0.0003434123460926376
75,40,0.0003350364352123293
93,40,0.0003350364352123293
21,37,0.00030990870257140466
236,35,0.00029315688081078817
65,35,0.00029315688081078817
42,30,0.000251277326409247
162,30,0.000251277326409247
19,30,0.000251277326409247
147,30,0.000251277326409247
33,30,0.000251277326409247
178,30,0.000251277326409247
20,29,0.00024290141552893877
10,28,0.00023452550464863055
40,28,0.00023452550464863055
34,26,0.00021777368288801408
27,26,0.00021777368288801408
120,25,0.00020939777200770584
25,25,0.00020939777200770584
4,25,0.00020939777200770584
57,25,0.00020939777200770584
160,25,0.00020939777200770584
47,24,0.0002010218611273976
80,24,0.0002010218611273976
215,21,0.0001758941284864729
79,20,0.00016751821760616466
108,20,0.00016751821760616466
32,19,0.00015914230672585644
24,19,0.00015914230672585644
43,19,0.00015914230672585644
174,19,0.00015914230672585644
99,19,0.00015914230672585644
70,18,0.0001507663958455482
49,18,0.0001507663958455482
61,18,0.0001507663958455482
9,16,0.00013401457408493173
6,16,0.00013401457408493173
125,16,0.00013401457408493173
85,15,0.0001256386632046235
330,15,0.0001256386632046235
207,15,0.0001256386632046235
379,15,0.0001256386632046235
59,14,0.00011726275232431528
71,13,0.00010888684144400704
1,12,0.0001005109305636988
150,11,9.213501968339056e-05
55,10,8.375910880308233e-05
224,10,8.375910880308233e-05
259,10,8.375910880308233e-05
14,9,7.53831979227741e-05
5,8,6.700728704246586e-05
8,7,5.863137616215764e-05
11,7,5.863137616215764e-05
53,6,5.02554652818494e-05
113,6,5.02554652818494e-05
2,5,4.1879554401541165e-05
107,5,4.1879554401541165e-05
16,4,3.350364352123293e-05
13,4,3.350364352123293e-05
26,4,3.350364352123293e-05
7,4,3.350364352123293e-05
64,3,2.51277326409247e-05
12,3,2.51277326409247e-05
97,3,2.51277326409247e-05
23,3,2.51277326409247e-05
100,3,2.51277326409247e-05
18,3,2.51277326409247e-05
84,2,1.6751821760616466e-05
83,2,1.6751821760616466e-05
30,2,1.6751821760616466e-05
185,2,1.6751821760616466e-05
121,2,1.6751821760616466e-05
105,2,1.6751821760616466e-05
154,2,1.6751821760616466e-05
76,2,1.6751821760616466e-05
142,1,8.375910880308233e-06
89,1,8.375910880308233e-06
81,1,8.375910880308233e-06
92,1,8.375910880308233e-06
183,1,8.375910880308233e-06
54,1,8.375910880308233e-06
117,1,8.375910880308233e-06
116,1,8.375910880308233e-06
52,1,8.375910880308233e-06
167,1,8.375910880308233e-06
72,1,8.375910880308233e-06
175,1,8.375910880308233e-06
109,1,8.375910880308233e-06
73,1,8.375910880308233e-06
36,1,8.375910880308233e-06
193,1,8.375910880308233e-06
37,1,8.375910880308233e-06
165,1,8.375910880308233e-06
74,1,8.375910880308233e-06
