previous_bookings_not_canceled,Count,Percentage
0,115770,0.9696792026132842
1,1542,0.012915654577435296
2,580,0.004858028310578776
3,333,0.0027891783231426418
4,229,0.0019180835915905854
5,181,0.0015160398693357903
6,115,0.0009632297512354468
7,88,0.0007370801574671245
8,70,0.0005863137616215763
9,60,0.000502554652818494
10,53,0.0004439232766563364
11,43,0.00036016416785325403
12,37,0.00030990870257140466
13,30,0.000251277326409247
14,28,0.00023452550464863055
15,21,0.0001758941284864729
16,20,0.00016751821760616466
25,17,0.00014239048496523997
17,16,0.00013401457408493173
18,14,0.00011726275232431528
19,13,0.00010888684144400704
20,12,0.0001005109305636988
21,12,0.0001005109305636988
22,10,8.375910880308233e-05
24,9,7.53831979227741e-05
27,9,7.53831979227741e-05
28,7,5.863137616215764e-05
23,7,5.863137616215764e-05
26,7,5.863137616215764e-05
29,6,5.02554652818494e-05
30,4,3.350364352123293e-05
32,2,1.6751821760616466e-05
31,2,1.6751821760616466e-05
48,2,1.6751821760616466e-05
44,2,1.6751821760616466e-05
58,2,1.6751821760616466e-05
50,1,8.375910880308233e-06
51,1,8.375910880308233e-06
53,1,8.375910880308233e-06
49,1,8.375910880308233e-06
47,1,8.375910880308233e-06
46,1,8.375910880308233e-06
52,1,8.375910880308233e-06
72,1,8.375910880308233e-06
54,1,8.375910880308233e-06
55,1,8.375910880308233e-06
56,1,8.375910880308233e-06
57,1,8.375910880308233e-06
59,1,8.375910880308233e-06
60,1,8.375910880308233e-06
61,1,8.375910880308233e-06
62,1,8.375910880308233e-06
45,1,8.375910880308233e-06
40,1,8.375910880308233e-06
43,1,8.375910880308233e-06
33,1,8.375910880308233e-06
70,1,8.375910880308233e-06
69,1,8.375910880308233e-06
68,1,8.375910880308233e-06
67,1,8.375910880308233e-06
66,1,8.375910880308233e-06
65,1,8.375910880308233e-06
64,1,8.375910880308233e-06
34,1,8.375910880308233e-06
42,1,8.375910880308233e-06
35,1,8.375910880308233e-06
36,1,8.375910880308233e-06
37,1,8.375910880308233e-06
38,1,8.375910880308233e-06
39,1,8.375910880308233e-06
71,1,8.375910880308233e-06
41,1,8.375910880308233e-06
63,1,8.375910880308233e-06
