stays_in_weekend_nights,Count,Percentage
0,51998,0.4355306139542675
2,33308,0.27898483960130666
1,30626,0.25652064662032
4,1855,0.015537314682971773
3,1259,0.010545271798308066
6,153,0.0012815143646871597
5,79,0.0006616969595443505
8,60,0.000502554652818494
7,19,0.00015914230672585644
9,11,9.213501968339056e-05
10,7,5.863137616215764e-05
12,5,4.1879554401541165e-05
13,3,2.51277326409247e-05
16,3,2.51277326409247e-05
14,2,1.6751821760616466e-05
18,1,8.375910880308233e-06
19,1,8.375910880308233e-06
